Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Salary Estimate Min,Salary Estimate Max,Salary Estimate Mean,Sentences in Job Description
"Data Analyst, Center on Immigration and Justice (CIJ)",$37K-$66K (Glassdoor est.),3.2,Vera Institute of Justice,"New York, NY","New York, NY",201 to 500 employees,1961,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),37.0,66.0,51.5,48
Quality Data Analyst,$37K-$66K (Glassdoor est.),3.8,Visiting Nurse Service of New York,"New York, NY","New York, NY",10000+ employees,1893,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),37.0,66.0,51.5,48
"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$37K-$66K (Glassdoor est.),3.4,Squarespace,"New York, NY","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,37.0,66.0,51.5,24
Data Analyst,$37K-$66K (Glassdoor est.),4.1,Celerity,"New York, NY","McLean, VA",201 to 500 employees,2002,Subsidiary or Business Segment,IT Services,Information Technology,$50 to $100 million (USD),37.0,66.0,51.5,28
Reporting Data Analyst,$37K-$66K (Glassdoor est.),3.9,FanDuel,"New York, NY","New York, NY",501 to 1000 employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),37.0,66.0,51.5,13
Data Analyst,$37K-$66K (Glassdoor est.),3.9,Point72,"New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,37.0,66.0,51.5,11
Business/Data Analyst (FP&A),$37K-$66K (Glassdoor est.),4.4,Two Sigma,"New York, NY","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,37.0,66.0,51.5,12
Data Science Analyst,$37K-$66K (Glassdoor est.),3.7,GNY Insurance Companies,"New York, NY","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),37.0,66.0,51.5,5
Data Analyst,$37K-$66K (Glassdoor est.),4.0,DMGT,"New York, NY","London, United Kingdom",5001 to 10000 employees,1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),37.0,66.0,51.5,21
"Data Analyst, Merchant Health",$37K-$66K (Glassdoor est.),4.4,Riskified,"New York, NY","New York, NY",501 to 1000 employees,2013,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,37.0,66.0,51.5,13
Data Analyst,$37K-$66K (Glassdoor est.),4.0,NYU Langone Health,"New York, NY","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),37.0,66.0,51.5,18
Data Analyst,$37K-$66K (Glassdoor est.),3.7,BulbHead,"Fairfield, NJ","Fairfield, NJ",1 to 50 employees,1979,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,37.0,66.0,51.5,21
DATA ANALYST,$37K-$66K (Glassdoor est.),3.7,Montefiore Medical,"New York, NY","Bronx, NY",10000+ employees,1884,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),37.0,66.0,51.5,14
Senior Data Analyst,$37K-$66K (Glassdoor est.),3.0,Known,"New York, NY","New York, NY",201 to 500 employees,2004,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),37.0,66.0,51.5,16
Investment Advisory Data Analyst,$37K-$66K (Glassdoor est.),3.4,Advisor Group,"Jersey City, NJ","Phoenix, AZ",1001 to 5000 employees,2016,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD),37.0,66.0,51.5,16
Sustainability Data Analyst,$37K-$66K (Glassdoor est.),3.6,CodeGreen Solutions,"New York, NY","New York, NY",1 to 50 employees,1979,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable,37.0,66.0,51.5,7
Data Analyst,$37K-$66K (Glassdoor est.),3.8,Undertone,"New York, NY","New York, NY",201 to 500 employees,2001,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,37.0,66.0,51.5,10
Clinical Data Analyst,$37K-$66K (Glassdoor est.),3.8,NYSTEC,"New York, NY","Rome, NY",51 to 200 employees,1996,Nonprofit Organization,Consulting,Business Services,$25 to $50 million (USD),37.0,66.0,51.5,18
DATA PROGRAMMER/ANALYST,$37K-$66K (Glassdoor est.),3.9,"Education Development Center, Inc.","New York, NY","Waltham, MA",501 to 1000 employees,1958,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),37.0,66.0,51.5,22
Data Analyst,$37K-$66K (Glassdoor est.),4.9,Teachers Pay Teachers,"New York, NY","New York, NY",51 to 200 employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,37.0,66.0,51.5,22
"Product Analyst, Data Science",$37K-$66K (Glassdoor est.),4.4,Google,"New York, NY","Mountain View, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),37.0,66.0,51.5,28
Data Science Analyst,$37K-$66K (Glassdoor est.),3.7,MUSIC & Entertainment,"New York, NY","Marina del Rey, CA",Unknown,1979,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,37.0,66.0,51.5,3
Data Analyst - Intex Developer,$37K-$66K (Glassdoor est.),3.3,Macquarie Group,"New York, NY","Sydney, Australia",10000+ employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),37.0,66.0,51.5,16
Data Analyst,$37K-$66K (Glassdoor est.),3.5,Andiamo,"New York, NY","Warren, MI",201 to 500 employees,1979,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),37.0,66.0,51.5,23
Entry Level / Jr. Data Analyst,$37K-$66K (Glassdoor est.),3.8,Dash Technologies Inc,"New York, NY","Columbus, OH",1 to 50 employees,1979,Unknown,Unknown,Unknown,Unknown / Non-Applicable,37.0,66.0,51.5,12
Data Analyst,$37K-$66K (Glassdoor est.),4.0,Hearst Communications,"New York, NY","San Francisco, CA",1 to 50 employees,1979,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),37.0,66.0,51.5,19
Data + Business Intelligence Analyst,$37K-$66K (Glassdoor est.),5.0,Duolingo,"New York, NY","Pittsburgh, PA",201 to 500 employees,2011,Company - Private,Internet,Information Technology,$10 to $25 million (USD),37.0,66.0,51.5,12
"Data Analyst, Product",$37K-$66K (Glassdoor est.),4.8,Ro,"New York, NY","New York, NY",51 to 200 employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,37.0,66.0,51.5,25
Data Analyst Entry Level,$37K-$66K (Glassdoor est.),3.7,Endai,"New York, NY","New York, NY",1 to 50 employees,1979,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),37.0,66.0,51.5,19
Data Analyst,$37K-$66K (Glassdoor est.),4.7,BlueLabs,"New York, NY","Washington, DC",1 to 50 employees,1979,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,37.0,66.0,51.5,25
Data Analyst,$46K-$87K (Glassdoor est.),3.6,Revel,"Brooklyn, NY","Seattle, WA",51 to 200 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),46.0,87.0,66.5,22
Data Analyst,$46K-$87K (Glassdoor est.),3.6,NALLAS CORPORATION,"Jersey City, NJ","Newtown, PA",1 to 50 employees,1979,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),46.0,87.0,66.5,1
Data Analyst,$46K-$87K (Glassdoor est.),3.5,Pozent,"New York, NY","Piscataway, NJ",1 to 50 employees,1979,Contract,Unknown,Unknown,Less than $1 million (USD),46.0,87.0,66.5,8
"Data Science Analyst, Capital Markets",$46K-$87K (Glassdoor est.),3.2,SoFi,"New York, NY","San Francisco, CA",1001 to 5000 employees,2011,Company - Private,Lending,Finance,Unknown / Non-Applicable,46.0,87.0,66.5,14
Data Analyst (Games),$46K-$87K (Glassdoor est.),3.7,Carry1st,"New York, NY","New York, NY",Unknown,1979,Unknown,Unknown,Unknown,Unknown / Non-Applicable,46.0,87.0,66.5,11
Analyst/Associate Global Markets Credit Data Analyst,$46K-$87K (Glassdoor est.),3.7,Bank of America,"New York, NY","Charlotte, NC",10000+ employees,1904,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),46.0,87.0,66.5,7
Data Business Analyst,$46K-$87K (Glassdoor est.),3.7,Clear Street,"New York, NY","New York, NY",51 to 200 employees,2018,Company - Public,Unknown,Unknown,$1 to $5 million (USD),46.0,87.0,66.5,17
Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,$46K-$87K (Glassdoor est.),3.6,Nutech Information Systems,"New York, NY","Westmont, IL",1 to 50 employees,1979,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),46.0,87.0,66.5,33
Data Science Analyst/Engineer,$46K-$87K (Glassdoor est.),4.0,NYU Langone Health,"New York, NY","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),46.0,87.0,66.5,32
Data Analyst,$46K-$87K (Glassdoor est.),4.6,The Trevor Project,"New York, NY","West Hollywood, CA",51 to 200 employees,1979,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD),46.0,87.0,66.5,18
"Business Analyst, Data Platforms",$46K-$87K (Glassdoor est.),3.7,Pinto,"New York, NY","New York, NY",1 to 50 employees,1979,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,46.0,87.0,66.5,15
Behavioral Data Analyst,$46K-$87K (Glassdoor est.),3.7,AB InBev,"New York, NY","Kyiv, Ukraine",1001 to 5000 employees,1979,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,46.0,87.0,66.5,23
Data Analyst,$46K-$87K (Glassdoor est.),5.0,Whip Media Group,"New York, NY","Santa Monica, CA",51 to 200 employees,2016,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,46.0,87.0,66.5,8
Data Analyst -1+ year Contract - NYC,$46K-$87K (Glassdoor est.),4.0,Two95 International Inc.,"New York, NY","Cherry Hill, NJ",1 to 50 employees,1979,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),46.0,87.0,66.5,3
Data Analyst,$46K-$87K (Glassdoor est.),3.0,Vettery,"New York, NY","New York, NY",201 to 500 employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,46.0,87.0,66.5,29
Data Analyst,$46K-$87K (Glassdoor est.),2.9,"Nesco Resource, LLC","New York, NY","Cleveland, OH",1001 to 5000 employees,1956,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),46.0,87.0,66.5,12
Advertising Data Analyst,$46K-$87K (Glassdoor est.),4.0,Hearst Communications,"New York, NY","San Francisco, CA",1 to 50 employees,1979,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),46.0,87.0,66.5,20
Data Analyst,$46K-$87K (Glassdoor est.),3.6,MediaMath,"New York, NY","New York, NY",501 to 1000 employees,2007,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),46.0,87.0,66.5,20
Market Data Reporting Analyst,$46K-$87K (Glassdoor est.),4.9,Jordan & Jordan,"New York, NY","New York, NY",1 to 50 employees,1990,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,46.0,87.0,66.5,4
"Senior Analyst, Data Science",$46K-$87K (Glassdoor est.),3.9,Roku,"New York, NY","San Jose, CA",1001 to 5000 employees,2002,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),46.0,87.0,66.5,10
"Senior Data Analyst, Disney+",$46K-$87K (Glassdoor est.),4.0,Walt Disney Co.,"New York, NY","Burbank, CA",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),46.0,87.0,66.5,19
"Office of the CAO | Reference Data, Project Manager/Business Analyst",$46K-$87K (Glassdoor est.),3.8,Citadel,"New York, NY","Chicago, IL",1001 to 5000 employees,1990,Company - Private,Unknown,Unknown,$50 to $100 million (USD),46.0,87.0,66.5,17
Business Data Analyst,$46K-$87K (Glassdoor est.),3.7,Xoriant Corporation,"Jersey City, NJ","Sunnyvale, CA",1001 to 5000 employees,1990,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),46.0,87.0,66.5,21
Senior Data Analyst,$46K-$87K (Glassdoor est.),3.6,Gemini,"New York, NY","New York, NY",51 to 200 employees,2015,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,46.0,87.0,66.5,15
Data Scientist / Big Data Analytics Analyst,$46K-$87K (Glassdoor est.),3.6,"TSR, Inc.","Weehawken, NJ","Hauppauge, NY",201 to 500 employees,1969,Company - Public,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),46.0,87.0,66.5,13
Data Reporting Analyst,$46K-$87K (Glassdoor est.),3.7,NADAP NYS INC.,"New York, NY","New York, NY",Unknown,1979,Unknown,Unknown,Unknown,Unknown / Non-Applicable,46.0,87.0,66.5,11
"Principal Data Analyst, LATAM - Disney Streaming Services",$46K-$87K (Glassdoor est.),4.0,Walt Disney Co.,"New York, NY","Burbank, CA",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),46.0,87.0,66.5,22
Data Analyst II,$46K-$87K (Glassdoor est.),3.2,Fragomen Worldwide,"New York, NY","New York, NY",1001 to 5000 employees,1951,Company - Private,Legal,Accounting & Legal,$500 million to $1 billion (USD),46.0,87.0,66.5,17
"Data Analyst - Environmental, Social, and Governance",$46K-$87K (Glassdoor est.),3.8,Bloomberg,"New York, NY","New York, NY",10000+ employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,46.0,87.0,66.5,17
Data Analyst,$46K-$87K (Glassdoor est.),3.9,Real Capital Analytics,"New York, NY","New York, NY",51 to 200 employees,2000,Company - Private,Real Estate,Real Estate,$25 to $50 million (USD),46.0,87.0,66.5,15
"Data Analyst, Revenue Analytics",$51K-$88K (Glassdoor est.),4.8,Ro,"New York, NY","New York, NY",51 to 200 employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,51.0,88.0,69.5,19
Data Analyst - Data Acquisition / Data Lineage,$51K-$88K (Glassdoor est.),3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 employees,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),51.0,88.0,69.5,15
Data Analyst - Data Scanning utilizing Rochade,$51K-$88K (Glassdoor est.),3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 employees,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),51.0,88.0,69.5,27
Data Analyst - Stitching,$51K-$88K (Glassdoor est.),3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 employees,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),51.0,88.0,69.5,26
Junior Data Analyst,$51K-$88K (Glassdoor est.),4.1,Kforce,"New York, NY","Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),51.0,88.0,69.5,7
"Data Analyst, Retail Media",$51K-$88K (Glassdoor est.),3.9,Criteo,"New York, NY","Paris, France",1001 to 5000 employees,2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),51.0,88.0,69.5,22
Data Analyst,$51K-$88K (Glassdoor est.),3.0,Royal Communications,"New York, NY","New York, NY",1 to 50 employees,1979,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),51.0,88.0,69.5,3
Portfolio Data Analyst,$51K-$88K (Glassdoor est.),3.7,Neuberger Berman,"New York, NY","New York, NY",1001 to 5000 employees,1939,Company - Private,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD),51.0,88.0,69.5,21
Data Science Analyst,$51K-$88K (Glassdoor est.),3.7,Greater New York Mutual Insurance Companies (GNY),"New York, NY","New York, NY",Unknown,1979,Unknown,Unknown,Unknown,Unknown / Non-Applicable,51.0,88.0,69.5,5
Data/Reporting Analyst,$51K-$88K (Glassdoor est.),3.9,Diverse Lynx,"New York, NY","Princeton, NJ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),51.0,88.0,69.5,8
Data Analyst 2,$51K-$88K (Glassdoor est.),3.7,eTeam Inc.,"New York, NY","South Plainfield, NJ",51 to 200 employees,1999,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),51.0,88.0,69.5,12
Entry Level Data Analyst,$51K-$88K (Glassdoor est.),3.7,impakt Advisors,"New York, NY","New York, NY",1 to 50 employees,1979,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,51.0,88.0,69.5,40
Marketing Data Analyst,$51K-$88K (Glassdoor est.),3.6,Current,"New York, NY","Colorado Springs, CO",201 to 500 employees,1979,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,51.0,88.0,69.5,13
Data/Information Mgt Analyst,$51K-$88K (Glassdoor est.),3.7,Citi,"New York, NY","New York, NY",10000+ employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),51.0,88.0,69.5,22
Business Data Analyst,$51K-$88K (Glassdoor est.),3.6,Axelon Services Corporation,"New York, NY","New York, NY",501 to 1000 employees,1979,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),51.0,88.0,69.5,13
Information Systems Officer (Data Analyst),$51K-$88K (Glassdoor est.),4.1,United Nations,"New York, NY","New York, NY",10000+ employees,1945,Government,Federal Agencies,Government,Unknown / Non-Applicable,51.0,88.0,69.5,67
Media Science Big Data Analyst,$51K-$88K (Glassdoor est.),3.5,"Discovery Communications, Inc.","New York, NY","New York, NY",10000+ employees,1985,Company - Public,TV Broadcast & Cable Networks,Media,$5 to $10 billion (USD),51.0,88.0,69.5,25
Data Analyst,$51K-$88K (Glassdoor est.),3.7,Randstad,"Jersey City, NJ","Atlanta, GA",1001 to 5000 employees,1979,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,51.0,88.0,69.5,12
Data Analyst,$51K-$88K (Glassdoor est.),5.0,Mulberry Technology,"New York, NY","New York, NY (US), NY",1 to 50 employees,1979,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,51.0,88.0,69.5,27
Data analyst with Python,$51K-$88K (Glassdoor est.),4.0,Two95 International Inc.,"New York, NY","Cherry Hill, NJ",1 to 50 employees,1979,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),51.0,88.0,69.5,3
Data Analyst,$51K-$88K (Glassdoor est.),4.8,SoftStandard Solutions,"New York, NY","Fremont, CA",51 to 200 employees,1979,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,51.0,88.0,69.5,8
Data Analyst,$51K-$88K (Glassdoor est.),5.0,"EDO, Inc.","New York, NY","Los Angeles, CA",1 to 50 employees,1979,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,51.0,88.0,69.5,7
"Healthcare Data Analyst, Qsight",$51K-$88K (Glassdoor est.),3.3,Guidepoint,"New York, NY","New York, NY",501 to 1000 employees,2003,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,51.0,88.0,69.5,9
BA/Data Analyst,$51K-$88K (Glassdoor est.),4.1,Mitchell Martin,"New York, NY","New York, NY",501 to 1000 employees,1984,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),51.0,88.0,69.5,5
Data Analyst Python,$51K-$88K (Glassdoor est.),4.0,Lorven Technologies Inc,"New York, NY","Plainsboro, NJ",1 to 50 employees,1979,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),51.0,88.0,69.5,1
"Data Analyst, Bitcoin Trading Firm",$51K-$88K (Glassdoor est.),3.7,Fintech Recruiters,"New York, NY","Dublin, Ireland",Unknown,1979,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,51.0,88.0,69.5,6
Data Analyst-BA,$51K-$88K (Glassdoor est.),1.0,Sphinix Network Solutions Inc.,"New York, NY","New York, NY",1 to 50 employees,1979,Company - Private,IT Services,Information Technology,Less than $1 million (USD),51.0,88.0,69.5,4
Data Analytics Solutions Analyst,$51K-$88K (Glassdoor est.),3.1,Praescient Analytics,"New York, NY","Alexandria, VA",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),51.0,88.0,69.5,33
Quantitative Data Analyst,$51K-$88K (Glassdoor est.),4.5,Global Atlantic Financial Group,"New York, NY","New York, NY",1001 to 5000 employees,2004,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,51.0,88.0,69.5,32
Data Analyst,$51K-$88K (Glassdoor est.),3.4,FINRA,"New York, NY","Washington, DC",1001 to 5000 employees,2007,Nonprofit Organization,Brokerage Services,Finance,$500 million to $1 billion (USD),51.0,88.0,69.5,52
Data Analyst,$51K-$87K (Glassdoor est.),3.7,NYU Langone Medical Center,"New York, NY","New York, NY",Unknown,1979,Unknown,Unknown,Unknown,Unknown / Non-Applicable,51.0,87.0,69.0,37
"Descriptive Analytics Data Analyst, IB",$51K-$87K (Glassdoor est.),3.6,Jefferies,"New York, NY","New York, NY",1001 to 5000 employees,1962,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),51.0,87.0,69.0,4
Data Analyst,$51K-$87K (Glassdoor est.),4.1,RGP,"New York, NY","Irvine, CA",1001 to 5000 employees,1996,Company - Public,Consulting,Business Services,$500 million to $1 billion (USD),51.0,87.0,69.0,18
Data Analyst,$51K-$87K (Glassdoor est.),4.4,Tachyon Technologies,"New York, NY","Irving, TX",201 to 500 employees,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),51.0,87.0,69.0,13
Data Analyst,$51K-$87K (Glassdoor est.),3.8,Apex Systems,"Jersey City, NJ","Glen Allen, VA",1001 to 5000 employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),51.0,87.0,69.0,8
Data Analyst,$51K-$87K (Glassdoor est.),3.2,Hagerty Consulting,"New York, NY","Evanston, IL",1 to 50 employees,1979,Company - Private,Consulting,Business Services,$1 to $5 million (USD),51.0,87.0,69.0,6
Data Analyst,$51K-$87K (Glassdoor est.),3.7,Gainful Health,"New York, NY","San Mateo, CA",1 to 50 employees,1979,Company - Private,Food & Beverage Stores,Retail,Unknown / Non-Applicable,51.0,87.0,69.0,12
Business Data Analyst,$51K-$87K (Glassdoor est.),3.8,Cortex consultants LLC,"New York, NY","North Brunswick, NJ",501 to 1000 employees,1979,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,51.0,87.0,69.0,4
Data Analyst,$51K-$87K (Glassdoor est.),4.7,Medly Pharmacy,"Brooklyn, NY","Brooklyn, NY",201 to 500 employees,2017,Unknown,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,51.0,87.0,69.0,8
Healthcare Data Analyst,$51K-$87K (Glassdoor est.),2.3,Fair Health,"New York, NY","New York, NY",1 to 50 employees,1979,Nonprofit Organization,Unknown,Unknown,$10 to $25 million (USD),51.0,87.0,69.0,28
Supply Chain Data Analyst,$51K-$87K (Glassdoor est.),3.8,Peloton Interactive,"New York, NY","New York, NY",1001 to 5000 employees,2012,Company - Public,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,51.0,87.0,69.0,16
Data Analyst - IBM Tool Set,$51K-$87K (Glassdoor est.),4.6,ektello,"New York, NY","Troy, MI",201 to 500 employees,2011,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),51.0,87.0,69.0,21
Analyst-Data Integrity,$51K-$87K (Glassdoor est.),3.0,"Premier, Inc.","New York, NY","Charlotte, NC",1001 to 5000 employees,1967,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),51.0,87.0,69.0,22
"Reference Data Operations Analyst - Index Instrument, Associate",$51K-$87K (Glassdoor est.),3.9,JPMorgan Chase,"New York, NY","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),51.0,87.0,69.0,13
Data Analyst,$51K-$87K (Glassdoor est.),3.0,Fund for Public Health,"Long Island City, NY","New York, NY",201 to 500 employees,1979,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),51.0,87.0,69.0,19
Data & Service Health Analyst,$51K-$87K (Glassdoor est.),4.2,BlueVoyant,"New York, NY","New York, NY",51 to 200 employees,1979,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,51.0,87.0,69.0,28
Data/Systems Analyst,$51K-$87K (Glassdoor est.),5.0,Crossfire Consulting Corporation,"New York, NY","Yorktown Heights, NY",51 to 200 employees,1979,Company - Private,Consulting,Business Services,$5 to $10 million (USD),51.0,87.0,69.0,7
Data Analyst,$51K-$87K (Glassdoor est.),4.0,Reliable Software Resources,"New York, NY","Northville, MI",501 to 1000 employees,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),51.0,87.0,69.0,11
Data Analyst,$51K-$87K (Glassdoor est.),3.7,Hyde Leadership Brooklyn,"Brooklyn, NY","Brooklyn, NY",51 to 200 employees,1979,School / School District,Unknown,Unknown,Unknown / Non-Applicable,51.0,87.0,69.0,7
Data Analyst,$51K-$87K (Glassdoor est.),3.7,Vertex Intel Systems,"Jersey City, NJ","Jersey City, NJ",Unknown,1979,Unknown,Unknown,Unknown,Unknown / Non-Applicable,51.0,87.0,69.0,1
Data Analyst Intern,$51K-$87K (Glassdoor est.),3.6,My Job Tank,"Jersey City, NJ","New York, NY",51 to 200 employees,1979,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,51.0,87.0,69.0,4
"Data Analytics Analyst or Associate, Cowen Sustainable Investments",$51K-$87K (Glassdoor est.),3.7,Cowen,"New York, NY","New York, NY",501 to 1000 employees,1918,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),51.0,87.0,69.0,10
Data Reporting Analyst,$51K-$87K (Glassdoor est.),3.5,Robert Half,"New York, NY","Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),51.0,87.0,69.0,15
Data Analyst,$51K-$87K (Glassdoor est.),2.8,FJA-US Inc.,"New York, NY","New York, NY",51 to 200 employees,1994,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),51.0,87.0,69.0,49
Data Analyst,$51K-$87K (Glassdoor est.),5.0,Averity,"New York, NY","New York, NY",1 to 50 employees,2014,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,51.0,87.0,69.0,9
Data Analyst,$51K-$87K (Glassdoor est.),3.8,Capgemini,"Jersey City, NJ","Paris, France",10000+ employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),51.0,87.0,69.0,43
ERP Data Analyst,$51K-$87K (Glassdoor est.),3.4,Wildlife Conservation Society,"New York, NY","Bronx, NY",1001 to 5000 employees,1895,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),51.0,87.0,69.0,16
Data Analyst,$51K-$87K (Glassdoor est.),3.6,Asembia,"Florham Park, NJ","Florham Park, NJ",501 to 1000 employees,2004,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),51.0,87.0,69.0,24
Healthcare Data/Reporting Analyst,$51K-$87K (Glassdoor est.),3.7,Vesta Healthcare,"New York, NY","New York, NY",1 to 50 employees,2018,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,51.0,87.0,69.0,23
PBM Data Analyst,$51K-$87K (Glassdoor est.),3.2,1199SEIU Funds,"New York, NY","New York, NY",1001 to 5000 employees,1979,Nonprofit Organization,Insurance Carriers,Insurance,$100 to $500 million (USD),51.0,87.0,69.0,1
